Year,Month,County,Count,Population,populationweightedcount,Monthlyavgpm2.5,MonthlyavgNO2,MonthlyavgOzone,MonthlyavgSO2,MonthlyavgCO,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,pct_unhealthy_days,pct_good_days,aqi_category,date,season,birth_rate_per_1000,county_size
2000,2,Los Angeles,12033.0,9538191,0.0012615599750518,14.025,28.53037441625616,0.0145540615763546,1.1115585114942528,1.0124768660477454,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.261559975051873,Major
2000,2,Madera,148.0,123587,0.0011975369577706,,13.282097310344827,0.0226919655172413,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.1975369577706394,Medium
2000,2,Marin,225.0,247520,0.0009090174531351002,,17.634439310344828,0.0146958275862068,,0.830613448275862,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.9090174531351002,Large
2000,2,Mariposa,18.0,17101,0.0010525700251447,,,0.0423943103448275,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.0525700251447283,Small
2000,2,Mendocino,107.0,86407,0.0012383255986204,6.1,8.840192310344827,0.021233224137931,,0.5630598965517242,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.2383255986204822,Medium
2000,2,Merced,297.0,212258,0.0013992405468816,19.27777777777778,11.740220793103449,0.025639,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.3992405468816251,Large
2000,2,Modoc,,9406,,11.25,,,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,,Small
2000,2,Mono,,12921,,,,,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,,Small
2000,2,Monterey,505.0,402990,0.0012531328320802,4.492307692307692,6.965291931034483,0.026813948275862,,0.3546895227272727,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.2531328320802004,Large
2000,2,Napa,108.0,124565,0.0008670172199253402,,13.497751103448277,0.0161563103448275,,0.6071994655172414,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.8670172199253402,Medium
2000,2,Nevada,52.0,92520,0.0005620406398616515,7.117647058823529,,0.0333554137931034,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.5620406398616515,Medium
2000,2,Orange,3705.0,2854513,0.0012979446931928,14.742857142857142,28.29385303448276,0.0168220862068965,2.756189724137931,0.7380669181034483,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.2979446931928493,Major
2000,2,Placer,227.0,251012,0.0009043392347776202,7.5,15.631360620689655,0.0222815689655172,,0.4907339310344827,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.9043392347776202,Large
2000,2,Plumas,14.0,20754,0.0006745687578298159,9.666666666666666,,0.0240202068965517,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.6745687578298158,Small
2000,2,Riverside,1926.0,1558985,0.0012354191990301,14.871153846153844,17.880434844827587,0.022634432748538,0.0950631724137931,0.862240735632184,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.2354191990301382,Major
2000,2,Sacramento,1425.0,1229940,0.0011585931021025,10.203703703703704,15.892499055944056,0.0169503402777777,1.2858094655172414,0.7675992517241379,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.1585931021025415,Major
2000,2,San Benito,70.0,53781,0.0013015749056358,,,0.029036448275862,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.3015749056358195,Medium
2000,2,San Bernardino,2111.0,1718037,0.0012287279028332,17.85,23.683216664634145,0.0260151904761904,1.4124001666666666,0.4392459770114942,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.2287279028332916,Major
2000,2,San Diego,3444.0,2827366,0.0012180948628511,11.033333333333331,21.17062193869732,0.0224234041811846,2.6811074252873563,1.0194415718390804,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.2180948628511485,Major
2000,2,San Francisco,675.0,777885,0.0008677375190420177,9.504,24.669846862068965,0.0170203448275862,1.997761706896552,0.8544981293103449,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.8677375190420178,Large
2000,2,San Joaquin,707.0,567885,0.0012449703725226,11.22222222222222,19.409154206896552,0.018179,,0.6620601551724138,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.2449703725226058,Large
2000,2,San Luis Obispo,165.0,247839,0.000665754784355973,6.754545454545455,9.755383293103447,0.0278489375,1.9766691153846152,0.6212223620689655,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.665754784355973,Large
2000,2,San Mateo,848.0,707820,0.0011980447006301,8.76153846153846,17.941196034482758,0.0169352413793103,,0.8156218965517241,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.1980447006301038,Large
2000,2,Santa Barbara,425.0,399990,0.001062526563164,12.628571428571428,6.862921329113924,0.0327697065217391,0.1994697167487684,0.3364701795774648,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.062526563164079,Large
2000,2,Santa Clara,2127.0,1684947,0.0012623542461572,9.333962264150944,24.858171,0.0146185862068965,,1.1773821637931037,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.2623542461572974,Major
2000,2,Santa Cruz,255.0,255835,0.000996736177614478,6.133333333333333,2.7219458965517243,0.0252215,1.1565913103448275,0.2950985344827586,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.9967361776144781,Large
2000,2,Shasta,157.0,163615,0.0009595697216025424,5.5,,0.02356,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.9595697216025425,Medium
2000,2,Sierra,,3574,,,,,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,,Small
2000,2,Siskiyou,32.0,44218,0.0007236871862137591,,,0.0225760344827586,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.7236871862137592,Small
2000,2,Solano,431.0,396974,0.0010857134220377,10.144444444444444,15.805520344827586,0.0160659824561403,1.5581474827586206,0.6858204655172414,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.0857134220377154,Large
2000,2,Sonoma,447.0,460421,0.0009708505910894594,7.022222222222222,14.577222620689655,0.0205371379310344,,0.7601489655172414,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.9708505910894594,Large
2000,2,Stanislaus,560.0,449471,0.0012459090797849,17.77777777777778,16.972411051724137,0.019553948275862,,0.5535435172413793,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.2459090797849028,Large
2000,2,Sutter,91.0,79192,0.0011491059703,7.625,11.99780324137931,0.0204911379310344,,0.3128169310344827,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.1491059703000304,Medium
2000,2,Tehama,40.0,56170,0.0007121239095602635,,,0.010890448275862,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.7121239095602635,Medium
2000,2,Trinity,,12980,,,,,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,,Small
2000,2,Tulare,560.0,368627,0.0015191507947057,17.625,17.17027851724138,0.0299233239436619,,0.5809781724137931,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.5191507947057594,Large
2000,2,Tuolumne,43.0,54658,0.0007867100881847122,,,0.0343765344827586,,0.3141022931034483,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.7867100881847122,Medium
2000,2,Ventura,876.0,756506,0.0011579551252732,7.271428571428571,11.020442453488371,0.0245619444444444,1.269614962962963,0.4104233214285714,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.1579551252732958,Large
2000,2,Yolo,151.0,169835,0.0008890982424117526,6.8,10.33974548275862,0.021002125,,0.2831301551724138,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.8890982424117526,Medium
2000,2,Yuba,75.0,60372,0.0012422977539256,,,,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.242297753925661,Medium
2000,3,Alameda,1828.0,1449840,0.0012608287811068,8.30952380952381,17.088734086021507,0.0222168968253968,,0.6086796559139785,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,1.2608287811068808,Major
2000,3,Alpine,,1209,,,,,,,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,,Small
2000,3,Amador,26.0,35153,0.0007396239296788325,,,0.0294118064516129,,0.3273813387096774,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,0.7396239296788325,Small
2000,3,Butte,174.0,203807,0.000853748889881113,8.166666666666666,11.059245258064516,0.0306603225806451,,0.5944308709677419,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,0.853748889881113,Large
2000,3,Calaveras,26.0,40645,0.0006396850781153893,6.666666666666667,,0.030292193548387,,0.2547218064516129,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,0.6396850781153893,Small
2000,3,Colusa,28.0,18817,0.0014880161556039,5.0,,0.0292589333333333,,,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,1.4880161556039753,Small
2000,3,Contra Costa,1118.0,952810,0.001173371396186,7.279310344827586,12.302529411290324,0.0273213548387096,1.6378499493087555,0.4351469879032258,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,1.1733713961860182,Large
2000,3,Del Norte,24.0,27440,0.0008746355685131195,,,,,,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,0.8746355685131195,Small
2000,3,El Dorado,139.0,157162,0.0008844377139512095,5.565217391304348,11.064516161290324,0.0382621587301587,,0.4046459274193549,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,0.8844377139512095,Medium
2000,3,Fresno,1171.0,801288,0.0014613971505875,15.276923076923078,16.311747354838708,0.0312878838709677,,0.5565681803278688,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,1.461397150587554,Large
2000,3,Glenn,34.0,26416,0.0012870987280436,,,0.0323737419354838,,,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,1.28709872804361,Small
2000,3,Humboldt,116.0,126462,0.0009172715914662112,11.8,,,,,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,0.9172715914662112,Medium
2000,3,Imperial,206.0,142410,0.0014465276314865,9.45,15.115115387096774,0.0347600322580645,0.1993688709677419,0.7469666774193549,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,1.446527631486553,Medium
2000,3,Inyo,18.0,17955,0.0010025062656641,,,0.0492721034482758,,,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,1.0025062656641603,Small
2000,3,Kern,887.0,663803,0.0013362398181388,14.285714285714286,14.409996,0.0349706463414634,,0.5731859189189189,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,1.3362398181388153,Large
2000,3,Kings,173.0,129835,0.0013324604305464,14.345454545454546,12.725031451612905,0.0290989677419354,,,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,1.3324604305464627,Medium
2000,3,Lake,52.0,58538,0.0008883118657965766,4.466666666666667,,0.0306753225806451,,,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,0.8883118657965766,Medium
2000,3,Lassen,26.0,33719,0.000771078620362407,,,,,,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,0.7710786203624069,Small
2000,3,Los Angeles,13222.0,9538191,0.0013862167364859,16.65251798561151,30.07082747926267,0.0232859307159353,1.1099003225806452,0.8729935384615385,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,1.3862167364859856,Major
2000,3,Madera,186.0,123587,0.0015050126631441,,11.778334064516129,0.0321450967741935,,,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,1.5050126631441818,Medium
2000,3,Marin,221.0,247520,0.0008928571428571428,,16.126472500000002,0.018971064516129,,0.7051102741935484,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,0.8928571428571428,Large
2000,3,Mariposa,,17101,,,,0.045674064516129,,,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,,Small
2000,3,Mendocino,104.0,86407,0.0012036061893133,6.083333333333333,9.351485112903228,0.0218857903225806,,0.5179276854838709,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,1.2036061893133658,Medium
2000,3,Merced,304.0,212258,0.0014322192803098,11.881818181818184,11.287135064516129,0.0334686774193548,,,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,1.4322192803098115,Large
2000,3,Modoc,,9406,,7.333333333333333,,,,,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,,Small
2000,3,Mono,12.0,12921,0.0009287206872533086,,,,,,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,0.9287206872533086,Small
2000,3,Monterey,523.0,402990,0.0012977989528276,7.386666666666667,8.054873838709678,0.0308458467741935,,0.4915234838709677,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,1.2977989528276137,Large
2000,3,Napa,114.0,124565,0.0009151848432545258,,11.780261161290325,0.0213923870967741,,0.518479435483871,,,,,,,,,,,0.0,0.0,,2000-03-01,Spring,0.9151848432545258,Medium
